School Name,School Id,School Overview,Email,Website,Phone,Fax,Principal,Manager,Address
Hampton Senior High School,4022,"



Aspire - Innovate - Achieve

Hampton Senior High School is an Independent Public School catering for young people in Years 7 to 12. At Hampton Senior High School, your child is encouraged to:

Aspire - To be the best they can be.
Innovate - To think strategically and explore new avenues to solutions.
Achieve - To successfully engage and perform in every aspect of their journey through secondary education.

At Hampton Senior High School we focus on the full development of your child, including their intellectual, emotional and physical wellbeing. Our excellent teaching staff and support team work together with you to ensure your child achieves their best by monitoring progress, mentoring and providing support.

Our school offers your child a variety of specialist and enrichment programs. Our Gifted and Talented Dance Program is highly regarded and is one of only two such programs in the State. We also offer Approved Specialist Programs in Information and Communication Technology, Cheer Dance and Performing Arts (Drama). We also provide school-based enrichment programs in applied science, STEM (science, technology, engineering and mathematics) and an athletics academy.

Children attending primary schools in the Morley area also have the opportunity to learn at our school. For children in Years 4 to 6, our Bright Sparks (junior science) and Project Edge (junior dance) programs aim is to ensure a smooth transition from primary to secondary school.

Our Follow the Dream program for Aboriginal students and Cadet (Bush Rangers) program engage students in a variety of learning opportunities, providing them with activities and educational experiences to improve their engagement, performance and pride.

Parents are encouraged to have input into their children's learning journey through various targeted parent information sessions, talking with their child's teachers, or taking part in the P&C Committee and School Board. Our teachers and support staff always welcome your input and will keep you informed through our website and social media channels, individual meetings, reports and our two e-newsletters - Interface and Circuit Maker.

Our staff have a blend of youth and experience and work together to share new teaching practices and established learning methods. Our teaching excellence has been recognised by our selection as a Teacher Development School for Digital Technology, allowing our staff the opportunity to share their skills, expertise and classroom innovation with other schools across the State.

We look forward to working with you and your child to ensure they given every opportunity to succeed by selecting the most suitable pathway for their abilities, skills and dreams. Along with ATAR pathways, a feature of our Year 10 curriculum is the emphasis placed on career education as a viable pathway. Here your child learns about the world of work, taking part in work experience throughout the year. This allows them to directly experience values such as work ethic, expectations, regulations and employee relationships. This can lead to pathway opportunities for their WACE and to further training after school.
",Hampton.SHS@education.wa.edu.au,http://www.hampton.wa.edu.au,08 9270 5700,08 9270 5725,Steven Beaton,Julie Holding,"Morley Drive East
Morley WA
6062"
Hannans Primary School,5727,"

At Hannans Primary School our purpose is to provide a learning environment that will enable each individual to develop and appreciate the academic, creative, physical and social skills necessary to become a worthy member of a changing society.

Hannans Primary School was established in 1992 to cater for the demand of an expanding Kalgoorlie-Boulder community. Throughout the past 20 years the school has built a strong and proud school community who are actively involved in the education of all students. Our school has a diverse student population of over 400 from 21 nationalities including 7% of Aboriginal students. We have a strong emphasis on creating a culture of shared responsibility, caring for children and families and promoting positive mental health and wellbeing through our strong commitment to improving academic and social outcomes for all students.

Our supportive staff and parent body ensures the school environment is safe, enjoyable and conducive to effective learning for everyone, enabling us all to work as a positive, cohesive team. We are committed to the provision of an inclusive educational program that promotes social and emotional well-being and encourages positive self-worth.

We provide strong and consistent discipline. Self-management and cooperation skills are actively taught. Students are trained as senior mentors and peer mediators, to help them develop their conflict resolution and interaction skills.

Hannans Primary School has a strong infrastructure of shared leadership across the school. We believe that strong, positive and shared leadership is the cornerstone to improving student outcomes. Teachers are encouraged and supported to develop their leadership skills. They work collaboratively across and within learning teams, which are based on the phase of learning, to develop, implement and manage their teaching and learning programs.

Discover more about what Hannans Primary School can offer your child:
W: hannansps.wa.edu.au
T: 9091 4148





",Hannans.PS@education.wa.edu.au,http://www.hannansps.wa.edu.au,08 9068 5300,,Denise Delfs,Jeanne Burmester,"2a Nankiville Road
Kalgoorlie WA
6430"
Harmony Primary School,5785,"

Harmony Primary School is an Independent Public School with a reputation in the community as being an outstanding school, catering for the individual needs of every student - academically, physically, creatively, socially and emotionally.

Harmony PS began commenced operation in 2004 and has a student population of 622 from Kindergarten to Year 6. A majority of our students move onto Year 7 at Atwell College, which is walking distance from our school. Harmony Primary School is a unique school in that it has been specifically designed to meet sustainability principles and operates within our community developed Sustainability Charter.

We achieve a high standard academically and strive to provide a holistic education, with a focus on students and teachers pursuing personal excellence. The strong community and parental support at Harmony contributes to exemplary student achievement.

Our dedicated and professional staff provide a balanced educational program with a focus on each student achieving their personal best in the vital skills associated with Literacy and Numeracy. Humanities and Social Sciences (HASS), Science, Design and Technology, Music & Visual Arts, Physical Education and Health and Japanese are taught across the school. A number of enrichment programs are made available to extend students across a wide range of areas. These include The Stephanie Alexander Kitchen and Garden Program, the Voice Festival, choir, an annual theatre production, a student leadership program, interschool and state sporting programs, instrumental music and visual arts extension.

Our modern facilities include attractive teaching and learning areas, an extensive library, up to date computer equipment and well-resourced science and technology areas.
With interactive whiteboards integrated into every classroom, iPads used as a learning tool from Kindergarten to Year 3 and a one on one laptop program from Year 4 to 6, we are committed to integrating digital technologies to enhance learning.

Harmony Primary School is also a Teacher Development School for HASS supporting other teachers across the state to develop their expertise in the teaching of HASS.
Harmony Primary School is committed to continuing to develop as a professional learning community where there is:
* a culture of ensuring students learn and improve,
* a culture of collaboration and cooperation, and
* a focus on results evidenced through data.

The Harmony Primary School Business Plan 2017 - 2019 (http://www.harmonyps.org.au/) outlines for all the community our vision for the future, the directions and overarching strategies we will take and our commitment to achieving these objectives. It has been created in collaboration with the Harmony Primary School Board, the Parents and Citizens Association and the staff of Harmony Primary School. The Business Plan will be continuously reviewed to ensure our efforts continue to be directed towards areas of need to improve student outcomes.
",Harmony.PS@education.wa.edu.au,https://harmonyps.wa.edu.au,08 6174 6600,,"Lea Hadley
Jennifer Robinson",Donna-Rae Connors,"60 Aurora Drive
Atwell WA
6164"
Harrisdale North Primary School,5865,"

Our school aims to be the heart of our community where we provide a nurturing, happy and joyful learning environment so that every child flourishes and is successful. Your children are at the forefront of every decision and action we take to enable them to learn at high levels.

We will guide students to strive for excellence, embrace challenge, be curious, and become critical and creative thinkers. Our aim is to develop in our future leaders a deep sense of global and social responsibility with the skills to make a meaningful contribution to our world.

Learning is fun, engaging, and inspiring. Quality teaching is the hallmark of our school and our programs reflect contemporary research and evidence-informed best practice. Our team works collaboratively to build our collective expertise in teaching and learning.

We value supporting children to be respectful, resilient, and confident individuals who demonstrate empathy and gratitude. Our commitment is to partner with families and the wider community in creating a school where everyone belongs, feels welcomed, connected, and valued.

To find out more and how you can be a founding family of our amazing school, please contact the principal, Jacqui O'Donnell at: harrisdalenorth.ps@education.wa.edu.au or jacqui.odonnell@education.wa.edu.au

Further information about Harrisdale North Primary School can be found by following us on Facebook (https://www.facebook.com/hnpsplanning)
",HarrisdaleNorth.PS@education.wa.edu.au,,,,Jacqui O'Donnell,,"Reilly Road
Harrisdale WA
6112"
Harrisdale Primary School,5842,"



Harrisdale Primary School is proudly an Independent Public School with an impressive reputation for high expectations, high standards, and high quality learning programs. We strive to ensure that every child is successful, known, valued and cared for. We pride ourselves on putting 'students and learning at the centre of all that we do'.

Our high quality, caring and dedicated teachers and staff are always continually developing their knowledge, understanding and skills, making sure that best evidenced-based teaching practices are used.

Fundamental in a child's education, is the building of strong foundations in literacy and numeracy from an early age. We prioritise early childhood education and ensure the explicit teaching of literacy and numeracy skills and understandings.

We aim to develop highly engaged children with the skills to live and work in a rapidly changing world. Central to this is ensuring your child gains the right skills - critical thinking, problem-solving, collaboration, creativity, communication and citizenship. We purposefully encourage and embed these skills into our learning programs.

Our highly skilled teachers tailor learning programs to suit each child's needs. They provide appropriate intervention strategies for those requiring additional support, as well as challenging and stimulating children who are academically talented (for example, our Academic Extension Program for children in Years 3 to 6). Specialist programs taught by qualified teachers include music (including the Instrumental Music Program), French, visual arts, physical education and junior science (for children up to Year 2).

Enriching pastoral care programs and clubs run before and after school. These include senior choir, concert band, gardening club, basketball club, code club, STEM club, boys' and girls' clubs, French club and arts splash.

How we interact with one another and how we conduct ourselves is guided by our Positive Behaviour Support values and behaviour expectations of Respect, Resilience, Excellence, Safety and Responsibility. We encourage a growth mindset and goal-setting to ensure that every child learns in an environment that is happy, safe and supportive.

We are leaders in digital technologies and support other schools in these areas. We have a BYO iPad program in Years 3 to 6, and a large selection of technologies to enhance and engage learning.

Our school values and prioritises positive partnerships and community involvement with our parents, families and wider community. All are welcome members of our Harrisdale family and play a vital and active part in our P&C Association and School Board, as well as volunteering at school events.

Our school has state-of-the art facilities, with every classroom boasting current technologies. We also have a STEM maker space and purpose-built science room and will soon have a recording studio. Playground facilities include a combination of manufactured equipment and natural play environments that challenge children to explore and test their capabilities in a safe, fun and challenging way. We also boast grassed sporting fields, a large, enclosed undercover area and hard courts for basketball, tennis and netball.

'It takes a village to raise a child' and at Harrisdale Primary School, we all work together to make every child successful.

Contact us today:

T: 9234 9700
E: Harrisdale.PS@education.wa.edu.au
",Harrisdale.PS@education.wa.edu.au,,08 9234 9700,,Karen Duncan,Megan Klompmaker,"7 Fairhaven Avenue
Harrisdale WA
6112"
Harrisdale Senior High School,4198,"

Harrisdale Senior High School provides local families with access to high-quality secondary education.

Our vision is to be a school of excellence in learning and teaching. Harrisdale's curriculum, pastoral care and co-curricular programs are developed on the belief every student can enjoy success at school and deserve the best possible opportunity to do so.

We believe a quality, rounded education provides students with the stepping-stone to higher education, training and employment, and to a bright future. Our emphases are on academic excellence and developing caring, capable and confident young adults who are keen to make positive contributions to their local and global community.

As an Independent Public School which opened with a Year 7 cohort in 2017, we will grow with a new year group each year until 2022, when the 'Year 7 Class of 2017' graduate as Year 12 students.

Harrisdale is a growing suburb located approximately 24 kilometres south of the Perth. The school, located on Laverton Crescent, is next to Harrisdale Primary School. The City of Armadale's new playing fields and sports pavilion are close by.

To learn more, please phone us on 9397 8000 or check our website at www.harrisdaleshs.wa.edu.au.

Leila Bothams
Principal
",Harrisdale.SHS@education.wa.edu.au,http://www.harrisdaleshs.wa.edu.au,08 9397 8000,,Leila Bothams,Danae Jolley,"1 Laverton Crescent
Harrisdale WA
6112"
Harvey Primary School,5204,"



The Harvey Primary School is located in the irrigation district of the South West of Western Australia. It has a student population of 300 including many with an Italian heritage and an increasing cohort from Asian countries. Harvey Primary School is committed to establishing a community in which everybody feels valued and where individual differences are appreciated and accepted. Positive links exist between the school, the home and the wider community to foster respect and sensitivity in providing a challenging and inclusive learning environment for all students. Parents and care givers are recognised as necessary contributors to their child's social, physical, cultural, moral and intellectual development. The Harvey Primary School direction is the implementation of whole school pedagogy in Literacy, Numeracy, Science and Information Communication Technology. To make our school vision a reality, we are committed to all our students achieving their potential. We do this through a school wide approach to cooperative learning with a focus on differentiation of the curriculum and developing relationships based on trust, mutual respect and the acceptance of responsibility.
",Harvey.PS@education.wa.edu.au,,08 9782 3200,08 9729 2434,Jason Romeo,Bobbie Denham,"Gibbs Street
Harvey WA
6220"
Harvey Senior High School,4023,"

By virtue of its size, Harvey Senior High School is able to cater for all students as individuals. The commitment of staff and local community involvement means that there is a strong connection between students, parents/caregivers and staff, resulting in all students being supported to achieve their potential. There is strong support from the community in enabling enriched educational opportunities for students.

As well as striving for excellence in all learning areas, students are encouraged to develop those skills, attitudes and values that will enable them to become lifelong learners who are able to adapt to their environment and contribute positively to their community. Harvey SHS is a school responsive to the needs of its clientele and is always looking for better ways to meet them.

Features -
Harvey Senior High School provides:
* A range of courses for students in Years 7 to 10 covering all learning areas of the Western Australian Curriculum.
* Courses including ATAR, General courses and VET subjects for Year 11 and 12 students.
* There is a strong emphasis on community partnerships and developing life skills.
* A structured workplace learning program in Year 11 and 12 to enable students to gain both generic and industry specific vocational skills.
* Strong pastoral care.
* A focus on retention and participation, including a successful Senior School Engagement Program.
* Literacy and numeracy support.
* An inclusive model for Education Support students.
* Year 7 Resiliency program.
* Sporting and social opportunities.
* Students can all also access the ECU Unichoice and the UWA ASPIRE programs.


Nestled at the base of the Harvey hills in a community which consists of agricultural and industrial businesses, the school began as Harvey Agricultural Junior High School in 1958 and since then has undergone several changes, including the splitting of the agricultural wing from the high school in 1998.

Harvey is ideally located only 2 hours from Perth, 35 minutes from the regional centre of Bunbury, and close by are wineries and other tourist-oriented destinations. The growth in the town is reflected in increasing new housing and employment opportunities in nearby mining industries. There is also government- provided accommodation for teaching staff in the town.


",Harvey.SHS@education.wa.edu.au,,08 9782 3800,08 9729 2225,Diane Clayton,Kelly Servaas,"51 South West Highway
Harvey WA
6220"
Hawker Park Primary School,5658,"



As an Independent Public School, Hawker Park Primary School endeavours to motivate and inspire children, by offering a safe and positive learning environment which actively fosters their social, emotional and academic attributes to their full potential. Our pastoral care is based on our three core values of respect, kindness and manners.

Our motto - Together We Grow - epitomises everything we do. As a team, we work together in a spirit of cooperation for the benefit of the whole school community.

We seek to facilitate and develop enthusiastic lifelong learners who are both independent and collaborative and exhibit leadership and critical thinking skills, as well as creativity, curiosity, resilience, perseverance, compassion and happiness.

Across all year levels, the school boasts an experienced and remarkably professional staff. Our dedicated and highly competent team focuses on building your child's literacy and numeracy skill and developing core values, while also emphasising the use of technology and learning for the future.

Additional school programs include music (including a choir), physical education (including interschool competitions and athletics competitions) and Indonesian. Children in Years 5 and 6 also have the opportunity to learn a musical instrument. Our school also encourages children to participate in a range of competitions and excursions, and visitors regularly visit the school to present to classes to extend their learning. Children in Year 6 enjoy an annual camp and we have a community garden.

Our school operates a 1:1 parent funded Apple laptop program for children in Year 4 to 6, while children in the earlier years are supported by a large bank of iPads and standalone computers.

Your child will learn in comfortable, clean, well-furnished and equipped classroom with flexible learning spaces that encourage creativity and will bring out the very best in your child.

Hawker Park Primary School is surrounded by bushland and large open spaces which combine to create a calm and inviting place of learning in Warwick. In Term 4, we offer a transition program for pre-Kindergarten children for two hours each week.

We encourage you to visit our school to see what we can offer your child.

W: hawkerparkps.wa.edu.au
",HawkerPark.PS@education.wa.edu.au,http://www.hawkerparkps.wa.edu.au,08 9448 6750,,Irma Roberts,Sandra Beard,"47 Hawker Avenue
Warwick WA
6024"
Heathridge Primary School,5632,"



Heathridge Primary School provides a high quality, extensive education to the children of families residing in Heathridge. As an Independent Public School, we strive to inspire our students to become respectful and confident citizens, providing them with a sense of belonging, and encouraging them to achieve their very best. Our school motto is 'Fly High, See Far'.
We are a distinctive school offering a diverse, inclusive and exciting range of learning programs. Our focus on literacy and numeracy is strong. Our students experience success due to high quality teaching and learning using whole-school approaches and evidence-based practice.
We offer specialist subjects in physical education, performing arts, history and social sciences and languages. We offer French as our language for students in Years 3 to 6. We provide our students with the skill and capabilities needed to compete in an ever changing world, with students having regular access to iPads and computers in our computer lab. We have community volunteers and parents that form part of our R-Team program designed to support students with their reading fluency and comprehension.
From 2018, we offer a specialised learning program for students in with autism. The program assists students to access age-appropriate curriculum to ensure their success in mainstream classrooms.
We pride ourselves on our commitment to high performance and high care, and on our reputation for inclusivity, strong values, strong pastoral care and community engagement. Our P&C Association and school board play important roles in our school. We encourage families to be an active part of our school through volunteering and our Father's Fridays program.
Our staff are experience, chosen specifically for their knowledge and their fit with our vision and educational needs. Our challenging and engaging programs allow students to develop academically, socially, emotionally and physically. We offer a strong values program underpinned by the core values of integrity, responsibility, resilience, tolerance, good manners, kindness, perseverance, confidence, honesty, cooperation, respect and courage. We hold weekly values assemblies where students are awarded certificates for demonstrating the value of the month, and students earn values badges while at our school.
Also on offer are weCARE breakfasts. All families and students are welcomed to join staff and our Year 6 student leaders for a community breakfast, in a relaxed and friendly atmosphere, twice a term. We also host playful learners, an out of school care program running for three years at our school. Our school is part of the National Chaplaincy Program run through Youth Care, with a chaplain teaching students resilience and tolerance twice a week. We also offer before school clubs including running club, gardening club and table tennis club.
We encourage you to visit our school to see what we can offer your child. Take a tour of our website to find out more. http://heathridgeps.wa.edu.au/

",Heathridge.PS@education.wa.edu.au,,08 9233 8950,,Denise Jeffs,"Noelene Little
Tanya Sullivan","55 Channel Drive
Heathridge WA
6027"
Hedland Senior High School,4053,"

Hedland Senior High School, located in South Hedland in the Pilbara, is an Independent Public School catering for students from Years 7 to 12.

At Hedland Senior High School we understand that the education of your child is unique. Our differentiated education programs develop your child's skills and talents, allowing them to achieve success in their own chosen pathway.

We have a number of programs to support high-achieving students at our school. Our LEAP (Learning Extension Academic Program) offers an accelerated curriculum to high achieving students in Years 7 to 10.

The Follow the Dream: Partnerships for Success program is a specialist voluntary program for high-achieving Aboriginal students and is delivered in partnership with the Graham (Polly) Farmer Foundation. This program provides after-school tuition and individualised mentoring to assist and support Aboriginal students to constantly strive for excellence, set challenging goals and take the necessary steps to achieve them.

We deliver a specialist netball program and an AFL program in partnership with VSwans. We also offer a range of co-curricular programs including a STEM club, robotics club, an Approved Specialist Arts Program, Country Week sports teams and cheerleading.

Hedland Senior High School wants your child to leave school as a resilient, confident and respectful young adult. The health and wellbeing team works with your child to build life-skills by provide leadership opportunities through the Student Council and developing joint programs with the local community.

Local industry plays a significant role at our school in supporting innovative programs, facilities and vocational training opportunities. The new on-site rail facility developed in partnership with BHP offers students a unique opportunity to complete a Certificate II in Rail Infrastructure, enhancing their local employment opportunities.

Our staff are committed to working in partnership with you and encourage you to be involved in your child's learning as much as you can. This will effectively support your child's learning and development - as captured by the school motto 'Together We Achieve.'

Find out more about what our school can offer your child:
hedlandshs.wa.edu.au
",Hedland.SHS@education.wa.edu.au,http://www.hedlandshs.wa.edu.au,08 9172 8000,08 9172 3797,Mary Griffiths,Karen Ballantyne,"78 Hamilton Road
South Hedland WA
6722"
Helena Valley Primary School,5205,"

Helena Valley Primary School is an Independent Public School that caters for children from Kindergarten to Year 6. Situated in the foothills of the Darling Range, our school provides dynamic and engaging educational opportunities that inspire children to become excellent achievers and responsible, positive citizens.

Staff at Helena Valley Primary School are dedicated, experienced and collaborative. They focus on student improvement through the use of evidence-based, reflective practices and a targeted approach towards teaching. Curriculum implementation and innovation is supported by partnerships with schools in the Hills Education Community. Several teachers share their expertise through leadership roles within the school.

Students at Helena Valley Primary School are recognised for their positive attitude towards learning and respect for peers. The school offers specialist programs in the areas of music, art, Italian and physical education. Children are offered educational opportunities to develop their individual skills and knowledge through early identification. Children who may be identified as being 'at risk' educationally are overseen through a case management approach working in partnership between the school, staff and family.

Excelling students are identified and managed at a classroom level. They can also be nominated for Gifted and Talented Programs (PEAC and Kalamunda Extension Program) and School of Instrumental Music programs. Opportunities to participate in a variety of supplementary programs including interschool sport, science, spelling, public speaking and the HEC Arts Festival are also offered at our school.

Helena Valley Primary School staff work with children and families to develop social and emotional success, alongside academic success. The school motto 'Help Each Other' is underpinned with the core values - excellence, responsibility and citizenship, which are explicit in all that we do at Helena Valley Primary School. Our school operates under a set of whole-school expectations designed to encourage children to develop themselves as a learner and a team member. We believe every day counts, and that attending school every day helps students build social and emotional skills such as communication, team work and resilience.

Our school consistently receives positive feedback from families reflecting the community spirit at Helena Valley Primary School. School staff work closely with dedicated parents through the P&C Association and School Board. Parents and community members are encouraged to volunteer in the school to assist in a range of positions available across the school year.

We welcome you to visit our website or contact us to discover more about our school:
T: 9294 1062
W: http://www.helenavalley.wa.edu.au
E: HelenaValley.PS@education.wa.edu.au
",HelenaValley.PS@education.wa.edu.au,http://www.helenavalley.wa.edu.au,08 9294 1062,08 9255 1558,Tamala Wilkinson,Rhonda Naughton,"3700 Helena Valley Road
Helena Valley WA
6056"
Herne Hill Primary School,5206,"



Herne Hill Primary School is situated in the Swan Valley on the outskirts of Perth, bordered by the Darling Range to the East and the Swan River to the West.

The school was established in 1922 and a significant number of students are descendants of the Swan Valley pioneers with several generations of families attending the school. The school has high expectations for students behaviour, values and work ethic. Students often refer to 'the Herne Hill way' and are encouraged to have active minds and bodies.

Students come from a diverse range of backgrounds there is a real connection and sense of partnership within our school. We encourage community involvement and have a tradition of support for the P&C and its committees. In return, the school enjoys a very positive image within the community which is reflected by the contact that is maintained by ex-students and their families.

Our staff have strong professional relationships with our students and are experienced and very capable. Some live locally and have strong links with the community.

Our school is set grounds with lush gardens with a mix of new and old buildings. Our classrooms are air conditioned and extensions are planned to our under cover area.

Please visit our website for more information.
https://www.hernehillps.com
",HerneHill.PS@education.wa.edu.au,http://www.hernehillps.com/,08 9296 4911,,Amanda Kelley,Karen Mccall,"60 Argyle Street
Herne Hill WA
6056"
High Wycombe Primary School,5208,"

High Wycombe Primary School is an Independent Public School located in suburb of High Wycombe.

Originally opened in 1961 our school is set in attractive and well maintained grounds with considerable areas for students to explore and play.

At High Wycombe Primary School we aim to provide a happy, safe and stimulating environment sensitive to the needs of all. Each child is encouraged to become the best person they can. We provide learning opportunities so that all children are equipped to deal with the challenges of a changing world.

Students have access to specialist teachers in the areas of Music, Physical Education, Languages Other Than English (Italian) and Digital Technologies. These programs complement the engaging classroom learning across all other areas of the Western Australian Curriculum.

Our school has a diverse student population. We have students from a variety of cultures which adds to the richness of the student population. Our school embraces difference in individuals which is reflected in our whole school practices, including for students with a disability.

Our staff consist of a mix of both high experienced educators as well as those within the early years of their careers. This blend ensures that the staff are always focussed on continual improvement and responsive to change. Many collaborative structures and professional learning opportunities are provided to keep teaching practice at a high level across the school.

As an Independent Public School, we work closely with our school community. Our parents and community members are actively involved through our School Board and also our Parents & Citizens Association. The School Board contributes significantly to our decision making expressing strongly the views of our parents and wider community. Our school is fortunate to have parents and community members that work for and with the school staff to enhance the opportunities for our students.

For more information please contact:
T: (08)9454 5280
E: highwycombe.ps@education.wa.edu.au
W: www.highwyc.wa.edu.au/
",HighWycombe.PS@education.wa.edu.au,http://www.highwyc.wa.edu.au,08 6228 7500,,Richard Walters,Rosa Cannavo,"60 Newburn Road
High Wycombe WA
6057"
Highgate Primary School,5207,"

Highgate Primary School is a Kindergarten to year 6 school. Our school was established in 1895 making it one of the oldest primary schools in Western Australia. It is situated in the suburb of Highgate, only 2 kilometres from the CBD. Being close to the CBD allows the students to easily access facilities such as the Museum, Art Gallery, Court House and Parliament House.

School Community: Our current school population is 600 with approximately 100 students attending our Intensive English classes. The school community, though changing, still represents over 50 different nationalities. Our unique cultural diversity provides a very practical understanding of the global community for our students and is one feature of our school that is highly valued.

The Highgate school community is drawn from local suburbs surrounding the school, but also due to the Intensive English Classes we offer and its inner city location, draws students from across the metropolitan area. This makes our community vibrant, rich and culturally diverse.

The different family structures in the school reflect our diversity and encompassing ethos. The curriculum we offer provides many opportunities for the school to include all groups in a meaningful way. We consider ourselves an integral part of the local community. We provide our facilities for the use of local associations and interest groups on application.

Our Ethos: Our school motto is 'Friendship - Respect - Success'.
We aim to develop the cognitive, social, physical and creative abilities of all students to enable them to realise their full potential and maximise opportunities as a member of the community. This means that we try to provide the best possible education for every child with parents / caregivers as partners.

Staff: The school is staffed by a team of highly qualified experienced and dedicated staff. Specialist staff are provided for Art, Music, Physical Education, Sport, Library, Instrumental Music, Intensive English and Mandarin Studies. The staff are supported by a team of qualified educational assistants.

Curriculum: The school embraces the Values and the learning areas of the Australian Curriculum, - The Arts, English, Health and Physical Education, Languages, Mathematics, Science, Humanities and Social Sciences and Technology.
Priorities for the school for 2015 include Literacy, Numeracy, Science, Communication and Technology. These priority areas are supported by additional resources.
Children at Highgate Primary School can participate in over 60 different programs. These include classical guitar and brass for students in years 5 and 6, Gymnastics, dance, chess and many more activities.

Buildings and Grounds: The school is air conditioned and consists of 2 main heritage listed buildings each with 10 class rooms and a fully enclosed hall. The school has a well equipped library, art room, music room and an Undercover Assembly area. There are four Early Childhood classes on site and four Kindergarten classes at our off site centre, on Broome Street, approximately 1 km from the school. We are currently undergoing a building and grounds redevelopment program.

Community Participation: The School Board, P&C and Volunteer Program contribute time and financially. Volunteers support teachers in the classroom, the P&C has been active with the development of the grounds, and volunteers assist in the canteen and other areas. Their contributions are appreciated.

Visitors: Highgate Primary School enjoys a renowned international reputation and receives visitors throughout the year. Highgate Primary School encourages relationships with overseas schools.


",Highgate.PS@education.wa.edu.au,http://www.highgateps.wa.edu.au/,08 9253 2700,,Stephen Ivey,Donna Baken,"147 Lincoln Street
Highgate WA
6003"
Hillarys Primary School,5564,"

We are an Independent Public School catering for children from Kindergarten to Year 6. Our school offers a caring and welcoming learning environment for children to develop their knowledge and skills, and become confident and independent learners.

Our experienced and committed team of teachers and support staff have a clear focus on student learning and pastoral care. Collaborative teaching is encouraged, and innovative teaching strategies and health and wellbeing programs are linked together by the KidsMatter framework, ensuring the best academic and social outcomes for children.

Specialist teachers in science, physical education, music and Japanese allow for an engaging curriculum. Through both extension and support programs, the individual learning needs of each child is considered.

Upgrades to ICT infrastructure around the school mean that students have access to the latest technology, creating a highly motivated learning environment. A modern library, school nursery and vegetable patch, recently updated play equipment including a Nature Play area and comfortable classrooms are all set among well-maintained grounds.

Our well-established P & C Association and School Board are integral to creating the school's vibrant learning community. Our revamped vision of 'Connected Community - Engaged Educators - Successful Students' paves the way for an immediate future of connected collaboration. The importance of 'community' is a feature of our school.

Our purpose is to nurture the young minds of children with a curriculum that is engaging and challenging, inspires a lifelong love of learning and allows them to reach their potential. We welcome you to visit our website to discover more about our school.

http://www.hillarysps.wa.edu.au

",Hillarys.PS@education.wa.edu.au,http://www.hillarysps.wa.edu.au,08 9307 6365,,Trevor Mitchell,Janene Heron,"75 Lymburner Drive
Hillarys WA
6025"
Hillcrest Primary School,5209,"



Hillcrest Primary School, together with the wider community, creates a positive learning environment where diversity is celebrated, excellence is encouraged and all children strive to reach their academic, social, physical and creative potential.

We empower children to embrace their future and strive to succeed. Our positive learning environment is supported by our STARR values - safety, teamwork, achievement, respect and responsibility. These values encourage children to take responsibility for their actions and development.

We ensure your child is nurtured to become a resilient, independent person with a love of learning. When they graduate they will leave with a complete skill set, confident in their ability to face the challenges of a technologically advanced society. They will be respectful citizens armed with the problem solving skills needed to sustain success.

Our experienced, caring and dedicated staff are passionate and share our vision. We believe that we can make a difference. We work closely in partnership with you to create a learning environment that encourages your child to meet and extend their potential.

We are leading the way in curriculum development, digital literacy and sustainability.

We continually strive to improve the delivery of the curriculum. While our focus is on literacy and numeracy, we also offer a number of additional programs. Development teams work closely with educational experts, specialist teachers and support staff to provide content and support in visual arts, music, physical education and Japanese.

Our sustainability initiatives are well recognised and practiced by students, staff and families. We have recently been acknowledged as the Waste Wise School of the Year at the Infinity Awards by the Waste Authority.

As a Positive Behaviour School we acknowledge and celebrate children who embrace our school motto - 'Wargado' or 'Strive to Achieve'. Through cooperation and participation, your child will acquire fundamental skills and knowledge to prepare them for a productive and successful future.

We encourage all families to be involved in their child's education, whether informally through parent information evenings and engaging teachers, or formally through our P&C Association (canteen, uniform shop and fundraising events). Our School Council is strongly represented by active and informed community members who guide and promote decision making.

Community partnerships with a number of local organisations and personalities generously enhance the success of our school. These include our sustainability initiatives; curriculum development; Loose Parts Play; breakfast club; before, after and vacation school care; music extension; remediation, health and fitness groups; and after school community sports.

Hillcrest was founded in 1950 and is prominently situated on the crest of a hill overlooking the City of Bayswater. Tracing its history to before establishment the local Wadjuk people used the distinctive bush setting and sweeping views as a gathering place to share food and impart the wisdom and knowledge of crafting tools, spears and cooking implements. This relationship with Noongar Land is recognised in the naming of several key buildings. The most notable is our Administration opened in 2016 which is proudly inscribed with the words 'Malya-Ba Mia' signifying our 'Place of Learning'.

We encourage you to visit us and see what we can offer your child.

T: 9370 2330
E: Hillcrest.PS@education.wa.edu.au
W: hillcrestps.wa.edu.au
",Hillcrest.PS@education.wa.edu.au,http://www.hillcrestps.wa.edu.au,08 9238 1000,08 9370 5259,Elizabeth Ford,Lynda Mohr,"2 Bay View Street
Bayswater WA
6053"
